8ball | Магический шар предсказаний | ['question']
avatar | Показать аватар участника | ['member']
balance | Показать баланс и уровень | ['member']
ban | Забанить участника на сервере | ['member', 'reason']
bassboost | Усилить басы (0-100 дБ). Без аргумента — очень сильный вкл/выкл | ['level']
buy | Купить предмет из магазина | ['item_id']
calc | Калькулятор | ['expression']
clean-voice | Очистить сообщения в голосовых каналах сейчас | []
clear | Очистить сообщения в канале (1-100) | ['amount']
coinflip | Подбросить монетку на деньги | ['amount', 'choice']
daily | Получить ежедневную награду (50-200 💰) | []
fact | Интересный факт | []
guess | Угадай число (1-10) | ['bet']
help | Показать все команды бота | ['category']
join | Присоединиться к голосовому каналу | []
kick | Кикнуть участника с сервера | ['member', 'reason']
leaderboard | Таблица лидеров по балансу или уровню | ['type']
leave | Отключиться от голосового канала | []
lock-down | Заблокировать сервер (защита от атак) | ['reason']
lock-up | Снять блокировку сервера | []
loop | Повтор текущего трека | []
loopqueue | Повтор всей очереди | []
mute | Выдать мут участнику (роль) | ['member', 'minutes', 'reason']
nowplaying | Информация о текущем треке | []
panel | Показать панель управления музыкой в голосовом канале | []
pause | Поставить музыку на паузу | []
pay | Перевести деньги участнику | ['member', 'amount']
ping | Проверить пинг бота | []
play | Воспроизвести музыку (YouTube) | ['query']
poll | Создать опрос | ['question', 'options']
protection | Текущее состояние защиты сервера | []
quest | Показать активные квесты | []
queue | Показать очередь треков | []
quote | Случайная цитата | []
remind | Установить напоминание | ['time', 'message']
report | Отправить жалобу на участника | ['member', 'reason']
resume | Продолжить воспроизведение | []
rules | Отправить правила сервера | []
serverinfo | Информация о сервере | []
shop | Показать магазин | []
shuffle | Перемешать очередь | []
skip | Пропустить текущий трек | []
stats | Статистика бота | []
stop | Остановить воспроизведение | []
testboost | Отправить тестовую благодарность за буст | []
testwelcome | Отправить тестовое приветствие в канал приветствия | []
ticket | Открыть систему тикетов (сообщение с кнопкой) | []
ticket-add | Добавить участника в тикет | ['member']
ticket-remove | Убрать участника из тикета | ['member']
timeout | Выдать таймаут участнику (Discord) | ['member', 'minutes', 'reason']
translate | Перевести текст | ['text', 'language']
untimeout | Снять таймаут с участника | ['member', 'reason']
uptime | Время работы бота | []
userinfo | Информация об участнике | ['member']
verify-role | Установить роль для верифицированных участников | ['role']
volume | Установить громкость (0-1000) | ['level']
work | Заработать деньги (кулдаун 1 час) | []
